Al,B,Co,Cr,Cu,Fe,Ga,La,Mg,Mn,Mo,Nb,Ni,P,Pt,Si,Sn,V,Zn,Zr,sint_temp,sint_time,T,p,flow,dry/red,k_d,yield,score
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.267735575,0.228289185,0.334336098
0.939,0.005,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.181945979,0.161583417,0.264367927
0.935,0,0.056,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.375802396,0.186765232,0.233156821
0.935,0,0.056,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.246714999,0.311563685,0.469392501
0.935,0,0.056,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.174778331,0.18244528,0.301115596
0.917,0,0.055,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.153788521,0.169322125,0.286564651
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,-1,0,-1,-1,0.104070151,0.117186168,0.209981172
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-1,0,-1,-1,0.083075915,0.115355184,0.211543893
0.935,0,0.056,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-1,0,-1,-1,3.235072491,0.162529656,0
0.935,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.608993157,1,-1,0,-1,-1,0.098971081,0.117908685,0.212478269
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-1,0,-1,-1,0.059505113,0.097228407,0.18288564
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,-0.666666667,-1,0,-1,-1,0.14762816,0.114093389,0.194499983
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,0,-1,0,-1,-1,0.072227158,0.106026975,0.196737896
0.943,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.297501251,0.149020864,0.209373942
0.935,0.009,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.226338741,0.083346,0.128963142
0.935,0,0,0,0,0,0,0,0,0,0,0,0.056,0.009,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,2.284275472,0.120714015,0
0.935,0,0,0,0,0,0,0,0,0,0,0,0.056,0.009,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,1,2.833575977,0.145068251,0
0.917,0,0,0,0,0,0,0,0,0,0,0,0.055,0.028,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,2.984356947,0.08623396,0
0.935,0,0,0,0,0,0,0,0,0,0,0,0.056,0.009,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.969191229,0.145655008,0.008974904
0.935,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0.009,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.237596201,0.119644776,0.182435263
0.943,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0.001,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.310704512,0.17151199,0.236444882
0.935,0,0,0,0,0,0,0,0,0,0.009,0,0.056,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.276765851,0.12897559,0.186559102
0.893,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0.054,0,0,0,0.608993157,1,-1,0,-1,-1,0,0.017169044,0.034338088
0.893,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0.054,0,0,0,0.608993157,1,-1,0,-1,-1,0,0.038322369,0.076644738
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.706744868,1,0.333333333,0,-0.333333333,1,0.194846776,0.150084687,0.241682339
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.706744868,1,0.333333333,0,-0.333333333,-1,0.324455741,0.186761054,0.252330716
0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0.706744868,1,0.333333333,0,-0.333333333,-1,0.712841122,0.240296616,0.138006613
0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0.706744868,1,0.333333333,0,-0.333333333,-1,0.94455872,0.200244992,0.022203677
0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0.706744868,1,0.333333333,0,-0.333333333,-1,0.956896658,0.180017972,0.015518752
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.779287573,0.19864339,0.08768613
0.962,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.649210858,0.14633744,0.10266717
0.962,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.593655089,0.172038334,0.139813803
0.962,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.654336888,0.231478485,0.160027147
0.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.01,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.733552789,0.16911341,0.090119593
0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.981582779,0.244036185,0.008988937
0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,1.242014803,0.23709162,0
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.713900919,0.179295866,0.102592765
0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.892252695,0.232213531,0.050040764
0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.893367985,0.231110993,0.049287662
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-1,0,-0.333333333,1,0.486104912,0.058603673,0.060232279
0.962,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-1,0,-0.333333333,1,0.56120377,0.098229933,0.086205849
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.130517325,0.130634914,0.227169589
0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,1.084160884,0.209506077,0
0.962,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.267537248,0.17146365,0.251181474
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-1,-1,0.414415368,0.327235522,0.383248185
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-0.2,0,-1,-1,0.309580483,0.25927268,0.358013838
