,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_train_mae,split1_train_mae,split2_train_mae,split3_train_mae,split4_train_mae,mean_train_mae,std_train_mae
334,0.1375138282775879,0.017987742328949143,0.0010004997253417968,8.064048063892253e-07,1,0.1,9,800,0.9,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 800, 'subsample': 0.9}",-0.05334233180232529,-0.061163504846210734,-0.07015866705054478,-0.06347555742655982,-0.07818365895877814,-0.06526474401688376,0.008402548545997347,330,-0.0037052928947217474,-0.00317430854684617,-0.0028891776434562884,-0.001297319846184823,-0.0016673328782812657,-0.002546686361898059,0.0009151784768687023
335,0.0746945858001709,0.004510090303235596,0.0007998466491699219,0.0003999233956528511,1,0.1,9,800,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 800, 'subsample': 1}",-0.05215694532784604,-0.06008725937340247,-0.06530511855123641,-0.06618823882511764,-0.08196909850954244,-0.065141332117429,0.009781968237542522,313,-0.005268562849323505,-0.0041435636830136745,-0.004069180369675351,-0.0026210333637092654,-0.0022433334288984807,-0.003669134738924055,0.001102244571627089
336,0.19311399459838868,0.01989043044768716,0.0012002944946289062,0.00039989957867441947,1,0.1,9,1000,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1000, 'subsample': 0.8}",-0.053546255424168535,-0.06296664430558083,-0.07334478204042197,-0.06077995952944186,-0.07834686013187578,-0.06579690028629778,0.008918860399311794,393,-0.0037101751579294386,-0.003164307864356665,-0.0028685516179866653,-0.0012471289934734018,-0.0015965695958961377,-0.0025173466459284615,0.0009408535348358582
337,0.164713716506958,0.025560781840016266,0.001000213623046875,2.3360154559928684e-07,1,0.1,9,1000,0.9,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1000, 'subsample': 0.9}",-0.053244969368162476,-0.061198068527869305,-0.07057584083586664,-0.06337166924001836,-0.07818501360979577,-0.0653151123163425,0.008482039792361064,335,-0.003677577798462027,-0.003139818039628689,-0.0028601684921746723,-0.001280651636127675,-0.0016480419921848966,-0.002521251591715592,0.0009095232450934406
338,0.09039998054504395,0.006770126596939276,0.0010000228881835937,3.2340669551493016e-07,1,0.1,9,1000,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1000, 'subsample': 1}",-0.05215694532784604,-0.06008725937340247,-0.06530511855123641,-0.06618823882511764,-0.08196909850954244,-0.065141332117429,0.009781968237542522,313,-0.005268562849323505,-0.0041435636830136745,-0.004069180369675351,-0.0026210333637092654,-0.0022433334288984807,-0.003669134738924055,0.001102244571627089
339,0.20470008850097657,0.03413704897882477,0.0014001846313476563,0.0004898235384771108,1,0.1,9,1200,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1200, 'subsample': 0.8}",-0.053496906284450085,-0.06264262293811507,-0.07338645006981444,-0.060927218222963535,-0.0783523943328331,-0.06576111836963525,0.008946378221090012,390,-0.0036468884021514697,-0.0030974953347490566,-0.0028560944296456654,-0.0012482307178879376,-0.0015727877527874543,-0.002484299327444317,0.0009191923907744116
340,0.1838677406311035,0.0280912383531944,0.0009999275207519531,2.611744678045111e-07,1,0.1,9,1200,0.9,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1200, 'subsample': 0.9}",-0.05321665979151085,-0.060889034222408996,-0.0700676305975782,-0.06332596873328784,-0.07822454322959067,-0.06514476731487531,0.008473655201894796,319,-0.0036692812411087115,-0.0031500150590266385,-0.0028869547168746054,-0.0012757278441963382,-0.0016341942150984387,-0.0025232346152609464,0.0009149027142374398
341,0.09180021286010742,0.008974960984764935,0.0010000705718994141,2.431401974483864e-07,1,0.1,9,1200,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1200, 'subsample': 1}",-0.05215694532784604,-0.06008725937340247,-0.06530511855123641,-0.06618823882511764,-0.08196909850954244,-0.065141332117429,0.009781968237542522,313,-0.005268562849323505,-0.0041435636830136745,-0.004069180369675351,-0.0026210333637092654,-0.0022433334288984807,-0.003669134738924055,0.001102244571627089
342,0.05600018501281738,0.0014144145695863873,0.0008002281188964844,0.00040011418730945476,1,0.1,10,200,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",-0.055372589618095214,-0.06094475150549359,-0.07064610047358331,-0.06245141620308252,-0.08057078973393507,-0.06599712950683793,0.008774781565519406,406,-0.0039008290003197423,-0.0033233493909720865,-0.0030826338687082143,-0.0013854093179940163,-0.0018257353831913781,-0.0027035913922370874,0.000945450815182501
343,0.050753307342529294,0.002908005909071594,0.0008126735687255859,0.00040711424440037166,1,0.1,10,200,0.9,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.9}",-0.054299502559513046,-0.060392470134742304,-0.07002189805733539,-0.06204500752093254,-0.08035393907570633,-0.06542256346964592,0.008994799200580626,348,-0.0038723962665892044,-0.00331833540931264,-0.0030397619201206457,-0.001488292577010255,-0.0018593805492574146,-0.002715633344458032,0.0008995491959072279
